old sampleid,sampleid,replicate,sitecode,species,role,delta13c,delta15n,c_n_ratio
GF-S18-CADDIS-2 C,GF-S18-CADDIS-2 C,1,GF,caddisfly,aqbase,-24.39265204,14.69830747,5.933924981
GF-S18-CADDIS-2,GF-S18-CADDIS-2,0,GF,caddisfly,aqbase,-24.29453689,14.71377338,5.883943962
GF-S18-CAT-1,GF-S18-CAT-1,0,GF,caterpillar,terbase,-29.50973433,0.48043283,4.29128666
GF-S18-CAT-2,GF-S18-CAT-2,0,GF,caterpillar,terbase,-29.34828733,0.685187977,4.273645992
GF-S18-CAT-3,GF-S18-CAT-3,0,GF,caterpillar,terbase,-29.42901083,0.673084224,4.201931573
GF-S18-DET-1,GF-S18-DET-1,0,GF,detritus,det,-28.70284384,6.322939661,26.90788969
GF-S18-DET-2,GF-S18-DET-2,0,GF,detritus,det,-28.54529682,6.413421535,26.22096291
GF-S18-DET-3,GF-S18-DET-3,0,GF,detritus,det,-28.49773546,6.361572371,27.38443308
GF-S18-GOL-1,GF-S18-GOL-1,0,GF,goldenrod,terpp,-33.93261225,-2.293171367,14.48243102
GF-S18-GOL-2,GF-S18-GOL-2,0,GF,goldenrod,terpp,-33.85235245,-2.295204668,14.70452312
GF-S18-GOL-3,GF-S18-GOL-3,0,GF,goldenrod,terpp,-33.88901433,-2.384669891,14.67693666
HT-S18-163-2,HT-S18-163-2,0,HT,white sucker,detritivore,-27.108,13.953,3.344029125
HT-S18-163-3,HT-S18-163-3,0,HT,white sucker,detritivore,-25.25,12.879,3.368674049
HT-S18-163-4,HT-S18-163-4,0,HT,white sucker,detritivore,-26.903,13.381,3.392718873
HT-S18-212-1,HT-S18-212-MT1,0,HT,creek chub,cc,-25.274,12.955,3.428842714
HT-S18-212-2,HT-S18-212-MT2,0,HT,creek chub,cc,-24.547,12.798,3.514603733
HT-S18-212-3,HT-S18-212-MT3,0,HT,creek chub,cc,-24.962,13.915,3.452599695
HT-S18-212-4,HT-S18-212-MT4,0,HT,creek chub,cc,-24.442,11.494,3.23216622
HT-S18-212-5 A,HT-S18-212-5 A,1,HT,creek chub,cc,-24.93,12.921,3.44662105
HT-S18-212-5 B,HT-S18-212-5 B,1,HT,creek chub,cc,-24.978,12.865,3.457192275
HT-S18-212-5 C,HT-S18-212-5 C,1,HT,creek chub,cc,-25.066,12.927,3.460215862
HT-S18-212-5,HT-S18-212-MT5,0,HT,creek chub,cc,-24.99133333,12.90433333,3.454676396
