sitecode,sitename,pass,species,number,sampleid,forkmm,totalmm,weight,kept,sex,stomach,stomachsource,stomachTP
SC,Caughell,2,johnny darter,53,SC-S18-341-53,NA,46,1,N,,,,
SC,Caughell,2,johnny darter,54,SC-S18-341-54,NA,52,1,N,,,,
SC,Caughell,2,johnny darter,55,SC-S18-341-55,NA,48,1,N,,,,
SC,Caughell,2,johnny darter,56,SC-S18-341-56,NA,43,1,N,,,,
SC,Caughell,2,creek chub,10,SC-S18-212-10,55,57,2,Y,F,"detritus, insects",unknown,1.5
SC,Caughell,2,white sucker,bulk1-1,,31,33,0.3,N,,,,
SC,Caughell,2,white sucker,bulk1-2,,31,33,0.3,N,,,,
SC,Caughell,2,white sucker,bulk1-3,,31,33,0.3,N,,,,
SC,Caughell,2,white sucker,bulk1-4,,31,33,0.3,N,,,,
SC,Caughell,2,white sucker,bulk1-5,,31,33,0.3,N,,,,
SC,Caughell,2,johnny darter,bulk4-1,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-2,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-3,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-4,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-5,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-6,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-7,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-8,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-9,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-10,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-11,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-12,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-13,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-14,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-15,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-16,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-17,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-18,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-19,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-20,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-21,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-22,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-23,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-24,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-25,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-26,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-27,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-28,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-29,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-30,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-31,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-32,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-33,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-34,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-35,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-36,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-37,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-38,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-39,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-40,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-41,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-42,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-43,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-44,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-45,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-46,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-47,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-48,,NA,28,0.153061224,N,,,,
SC,Caughell,2,johnny darter,bulk4-49,,NA,28,0.153061224,N,,,,
SC,Caughell,2,creek chub,11,SC-S18-212-11,85,90,7.5,Y,F,fish/detritus,aquatic,3
SC,Caughell,2,creek chub,bulk4-1,,34,36,0.325,N,,,,
SC,Caughell,2,creek chub,bulk4-2,,34,36,0.325,N,,,,
SC,Caughell,2,creek chub,bulk4-3,,34,36,0.325,N,,,,
SC,Caughell,2,creek chub,bulk4-4,,34,36,0.325,N,,,,
SC,Caughell,2,creek chub,bulk4-5,,34,36,0.325,N,,,,
SC,Caughell,2,creek chub,bulk4-6,,34,36,0.325,N,,,,
SC,Caughell,2,creek chub,bulk4-7,,34,36,0.325,N,,,,
